Name,Address,Bedrooms,Price,Rent,Area,Furnishing
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",rajarhat,2,6630000.0,29925,1197.0,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",new town,3,27500000.0,54640,2017.0,Unfurnished
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",new town,4,13400000.0,50468,1863.0,Unfurnished
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",rajpur sonarpur,4,15100000.0,38918,1974.0,Unfurnished
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",em bypass,3,7490000.0,24805,840.0,Unfurnished
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",barrackpore trunk road,3,13000000.0,37535,1350.0,Unfurnished
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",sonarpur,3,14500000.0,25806,2724.0,Unfurnished
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",new alipore,4,37100000.0,66050,2486.0,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",anandapur,4,39000000.0,167422,4000.0,Unfurnished
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",anandapur,4,34400000.0,112717,2693.0,Unfurnished
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",rajarhat,3,9950000.0,37500,1500.0,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,3,10000000.0,25750,1030.0,Unfurnished
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",new town,3,24800000.0,49168,1815.0,Unfurnished
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",joka,4,11000000.0,32263,1597.0,Unfurnished
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",baranagar,3,14500000.0,31373,1810.0,Unfurnished
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",rajarhat,2,5470000.0,17875,715.0,Unfurnished
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",sonarpur station road,2,4350000.0,16031,775.0,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",new town,5,46500000.0,75635,2792.0,Unfurnished
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,3,11300000.0,28975,1159.0,Unfurnished
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",barasat,2,3490000.0,9399,723.0,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",madhyamgram,3,5670000.0,19839,1259.0,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",new town,3,10000000.0,35054,1294.0,Unfurnished
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",madhyamgram,2,4140000.0,14513,921.0,Unfurnished
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",parnasree,3,10400000.0,22419,1055.0,Unfurnished
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",baruipur,2,2960000.0,18164,900.0,Unfurnished
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",sonarpur station road,3,7440000.0,18141,877.0,Unfurnished
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",new town,3,9600000.0,29961,1106.0,Unfurnished
"3 BHK Apartment for Sale in THE HYACINTH, Sonarpur Kolkata",sonarpur,3,8050000.0,15982,1687.0,Unfurnished
"3 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata",new town,3,11700000.0,41989,1550.0,Unfurnished
"4 BHK Apartment for Sale in Ruchi Active Acres Angelica, Tangra Kolkata",tangra,4,23000000.0,88772,2621.0,Unfurnished
"3 BHK Apartment for Sale in Shree Sai TASHVI HOMES, Rajarhat Kolkata",rajarhat,3,10500000.0,42025,1681.0,Unfurnished
"3 BHK Apartment for Sale in Crown, Sector 5 Salt Lake City Kolkata",sector 5 salt lake city,3,20000000.0,63880,1597.0,Unfurnished
"2 BHK Apartment for Sale in JMC Broadway, Sector 5 Salt Lake City Kolkata",sector 5 salt lake city,2,9750000.0,31040,776.0,Unfurnished
"2 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata",em bypass,2,12000000.0,20671,700.0,Semi-Furnished
"3 BHK Apartment for Sale in Sugam Park, Narendrapur Rajpur Sonarpur Kolkata",narendrapur,3,6000000.0,17615,890.0,Unfurnished
"2 BHK Apartment for Sale in NBCC Vibgyor Towers, New Town Kolkata",new town,2,7500000.0,29636,1094.0,Unfurnished
"4 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata",em bypass,4,21500000.0,48725,1650.0,Semi-Furnished
"2 BHK Apartment for Sale in Upohar The Condoville, Eastern Metropolitan Bypass Kolkata",em bypass,2,9500000.0,27109,918.0,Unfurnished
"3 BHK Builder Floor for Sale in Realtech Rajvansh, Rajarhat Kolkata",rajarhat,3,5430000.0,30150,1206.0,Unfurnished
"3 BHK Apartment for Sale in Hiland Park, Eastern Metropolitan Bypass Kolkata",em bypass,3,11000000.0,39216,1328.0,Unfurnished
"3 BHK Apartment for Sale in Rohra Imperial, New Town Kolkata",new town,3,5750000.0,28309,1045.0,Unfurnished
"3 BHK Apartment for Sale in Urbana NRI Complex, Eastern Metropolitan Bypass Kolkata",em bypass,3,54500000.0,92341,3127.0,Unfurnished
"3 BHK Apartment for Sale in Danish Red Salute Cooperative Housing Society Ltd, Action Area 3 Kolkata",action area 3,3,8860000.0,47052,1650.0,Unfurnished
"3 BHK Apartment for Sale in Supreme Residency, Rajarhat Kolkata",rajarhat,3,6500000.0,18125,725.0,Unfurnished
"4 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",tollygunge,4,15700000.0,61882,1933.0,Unfurnished
"2 BHK Apartment for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat Kolkata",rajarhat,2,5600000.0,23750,950.0,Unfurnished
3 BHK Apartment for Sale in Rajarhat Kolkata,rajarhat,3,4550000.0,27725,1109.0,Unfurnished
"2 BHK Apartment for Sale in GM Meena Prime, Airport Area Kolkata",airport area,2,4560000.0,9232,591.0,Unfurnished
"3 BHK Apartment for Sale in Neelkanth Chitrakut Heights, New Town Kolkata",new town,3,7730000.0,32156,1187.0,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,2,5500000.0,22500,900.0,Unfurnished
"2 BHK Apartment for Sale in Utalika Luxury Phase 5, Eastern Metropolitan Bypass Kolkata",em bypass,2,8000000.0,14322,485.0,Unfurnished
"3 BHK Apartment for Sale in Vinayak, New Town Kolkata",new town,3,22000000.0,42152,1556.0,Unfurnished
"3 BHK Apartment for Sale in Diamond City South, Tollygunge Kolkata",tollygunge,3,11200000.0,35215,1100.0,Unfurnished
"2 BHK Apartment for Sale in Mani Casa, New Town Kolkata",new town,2,13000000.0,23839,880.0,Unfurnished
"2 BHK Apartment for Sale in Rechi Anandi Enclave, Rajarhat Kolkata",rajarhat,2,5200000.0,17500,700.0,Unfurnished
6 BHK House for Sale in Kasba Kolkata,kasba,6,35000000.0,58235,2200.0,Semi-Furnished
"2 BHK Apartment for Sale in Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass Kolkata",em bypass,2,8500000.0,20346,689.0,Unfurnished
"3 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",new alipore,3,23900000.0,39853,1500.0,Unfurnished
"4 BHK Apartment for Sale in SRIPSK Palladina, Eastern Metropolitan Bypass Kolkata",em bypass,4,57000000.0,103356,3500.0,Unfurnished
"3 BHK Apartment for Sale in 77 Estates, Chetla Kolkata",chetla,3,14000000.0,27947,1048.0,Semi-Furnished
"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, New Town Kolkata",new town,3,21500000.0,42233,1559.0,Unfurnished
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",new town,5,47500000.0,75851,2800.0,Unfurnished
"3 BHK Apartment for Sale in Anudip Grandeur, Kasba Kolkata",kasba,3,12700000.0,27106,1024.0,Unfurnished
"4 BHK Apartment for Sale in Belani NPR Sanctuary, Tollygunge Kolkata",tollygunge,4,71000000.0,86628,2706.0,Unfurnished
"4 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",anandapur,4,69000000.0,187220,4473.0,Unfurnished
"5 BHK Apartment for Sale in Orbit Urban Park, Action Area 2 Kolkata",action area 2,5,58300000.0,78307,3200.0,Unfurnished
"4 BHK Villa for Sale in Forum Legacy, Action Area 2 Kolkata",action area 2,4,39000000.0,60981,2492.0,Unfurnished
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",anandapur,3,43000000.0,106732,2550.0,Unfurnished
"3 BHK Apartment for Sale in Srijan Solus, Madhyamgram Kolkata",madhyamgram,3,7800000.0,12606,800.0,Unfurnished
"3 BHK Apartment for Sale in Realmark Seasonss, Joka Kolkata",joka,3,8000000.0,19192,950.0,Unfurnished
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Basunagar Kolkata",basunagar,3,4500000.0,13900,695.0,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,2,8600000.0,16150,646.0,Unfurnished
"2 BHK Apartment for Sale in Tattvam Eden Group, Manicktala Kolkata",manicktala,2,12700000.0,30771,1077.0,Unfurnished
"3 BHK Apartment for Sale in F Residences Merlin, Narayanpur, Gopalpur Gram Kolkata",narayanpur,3,13700000.0,12208,986.0,Unfurnished
"3 BHK Apartment for Sale in PS Jade Grove, Entally Kolkata",entally,3,11500000.0,27321,850.0,Semi-Furnished
"2 BHK Apartment for Sale in Chinar Park, Rajarhat Kolkata",chinar park,2,6260000.0,20342,920.0,Unfurnished
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,2,7900000.0,14650,586.0,Unfurnished
"4 BHK Apartment for Sale in A N Atreyaa, Lake Town Kolkata",lake town,4,19600000.0,38424,2314.0,Unfurnished
"3 BHK Apartment for Sale in ANANDI VISTA, Rajarhat Kolkata",rajarhat,3,6610000.0,38475,1539.0,Unfurnished
"3 BHK Apartment for Sale in Bhawani Inara, Action Area 2 Kolkata",action area 2,3,15800000.0,37930,1550.0,Unfurnished
"2 BHK Apartment for Sale in Bhawani Bandhan, Madhyamgram Kolkata",madhyamgram,2,5100000.0,8824,560.0,Unfurnished
"4 BHK Apartment for Sale in PS Vaanya, Action Area 2 Kolkata",action area 2,4,36200000.0,48183,1969.0,Unfurnished
"3 BHK Apartment for Sale in Godrej Elevate at Godrej Seven, Joka Kolkata",joka,3,8500000.0,19657,973.0,Unfurnished
"3 BHK Apartment for Sale in Siddha Sky, Eastern Metropolitan Bypass Kolkata",em bypass,3,21000000.0,58824,1992.0,Unfurnished
"2 BHK Apartment for Sale in Merlin Lakescape, New Town Kolkata",new town,2,7600000.0,18340,677.0,Unfurnished
3 BHK Apartment for Sale in Santoshpur Kolkata,santoshpur,3,8000000.0,26579,1460.0,Unfurnished
