Name,Address,Bedrooms,Price,Rent,Area,Furnishing,property_price,property_price_lakhs,initial_monthly_rent,down_payment_pct,down_payment,loan_amount,monthly_emi,effective_monthly_emi,chosen_tax_regime,total_tax_paid,total_tax_old,total_tax_new,final_property_value,final_buying_wealth,final_renting_wealth,decision
"2 BHK Apartment for Sale in Team Taurus Singhaduar, Rajarhat Kolkata",rajarhat,2,6630000.0,29925,1197.0,Unfurnished,6630000.0,66.3,29925,0.2,1326000.0,5304000.0,44398.0,44398.0,DYNAMIC,9579718.0,12194006.0,9579718.0,25656008.0,22142108.0,24588480.0,RENT
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",new town,3,27500000.0,54640,2017.0,Unfurnished,27500000.0,275.0,54640,0.25,6875000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,106416323.0,91841323.0,46280431.0,BUY
"4 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",new town,4,13400000.0,50468,1863.0,Unfurnished,13400000.0,134.0,50468,0.25,3350000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,51853772.0,44751772.0,27082475.0,BUY
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",rajpur sonarpur,4,15100000.0,38918,1974.0,Unfurnished,15100000.0,151.0,38918,0.25,3775000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,58432235.0,50429235.0,42445346.0,BUY
"3 BHK Apartment for Sale in Merlin Skygaze, Eastern Metropolitan Bypass Kolkata",em bypass,3,7490000.0,24805,840.0,Unfurnished,7490000.0,74.9,24805,0.2,1498000.0,5992000.0,50157.0,50157.0,DYNAMIC,9579718.0,12156141.0,9579718.0,28983937.0,25014237.0,36934412.0,RENT
"3 BHK Apartment for Sale in Premier Joy 98, Barrackpore Trunk Road Kolkata",barrackpore trunk road,3,13000000.0,37535,1350.0,Unfurnished,13000000.0,130.0,37535,0.25,3250000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,50305898.0,43415898.0,40410603.0,BUY
"3 BHK Villa for Sale in Srijan Botanica, Sonarpur Kolkata",sonarpur,3,14500000.0,25806,2724.0,Unfurnished,14500000.0,145.0,25806,0.25,3625000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,56110425.0,48425425.0,54720349.0,RENT
"4 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",new alipore,4,37100000.0,66050,2486.0,Unfurnished,37100000.0,371.0,66050,0.25,9275000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,143565294.0,123902294.0,62397562.0,BUY
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",anandapur,4,39000000.0,167422,4000.0,Unfurnished,39000000.0,390.0,167422,0.25,9750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,150917694.0,130247694.0,65593125.0,BUY
"4 BHK Apartment for Sale in Ambuja Utpalaa The Condoville, Anandapur Kolkata",anandapur,4,34400000.0,112717,2693.0,Unfurnished,34400000.0,344.0,112717,0.25,8600000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,133117146.0,114885146.0,57856500.0,BUY
"3 BHK Apartment for Sale in Optima Phase 1, Rajarhat Kolkata",rajarhat,3,9950000.0,37500,1500.0,Unfurnished,9950000.0,99.5,37500,0.25,2487500.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,38503360.0,33229860.0,35318774.0,RENT
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,3,10000000.0,25750,1030.0,Unfurnished,10000000.0,100.0,25750,0.25,2500000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,38696845.0,33396845.0,47200275.0,RENT
"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata",new town,3,24800000.0,49168,1815.0,Unfurnished,24800000.0,248.0,49168,0.25,6200000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,95968175.0,82824175.0,47663191.0,BUY
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",joka,4,11000000.0,32263,1597.0,Unfurnished,11000000.0,110.0,32263,0.25,2750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,42566529.0,36736529.0,42729502.0,RENT
"3 BHK Apartment for Sale in Orbit Dakshini, Baranagar Kolkata",baranagar,3,14500000.0,31373,1810.0,Unfurnished,14500000.0,145.0,31373,0.25,3625000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,56110425.0,48425425.0,49531568.0,RENT
"2 BHK Apartment for Sale in Siddha Happyville, Rajarhat Kolkata",rajarhat,2,5470000.0,17875,715.0,Unfurnished,5470000.0,54.7,17875,0.2,1094000.0,4376000.0,36630.0,36630.0,DYNAMIC,9579718.0,12273073.0,9579718.0,21167174.0,18268074.0,27180965.0,RENT
"2 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",sonarpur station road,2,4350000.0,16031,775.0,Unfurnished,4350000.0,43.5,16031,0.2,870000.0,3480000.0,29130.0,29130.0,DYNAMIC,9579718.0,12403426.0,9579718.0,16833127.0,14527627.0,19935649.0,RENT
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",new town,5,46500000.0,75635,2792.0,Unfurnished,46500000.0,465.0,75635,0.25,11625000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,179940328.0,155295328.0,78207187.0,BUY
"3 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,3,11300000.0,28975,1159.0,Unfurnished,11300000.0,113.0,28975,0.25,2825000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,43727434.0,37738434.0,46498606.0,RENT
"2 BHK Apartment for Sale in Fortune Heights Barasat, Barasat Kolkata",barasat,2,3490000.0,9399,723.0,Unfurnished,3490000.0,34.9,9399,0.2,698000.0,2792000.0,23371.0,23371.0,DYNAMIC,9579718.0,12575193.0,9579718.0,13505199.0,11655499.0,18947286.0,RENT
"3 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",madhyamgram,3,5670000.0,19839,1259.0,Unfurnished,5670000.0,56.7,19839,0.2,1134000.0,4536000.0,37969.0,37969.0,DYNAMIC,9579718.0,12256974.0,9579718.0,21941111.0,18936011.0,26994597.0,RENT
"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata",new town,3,10000000.0,35054,1294.0,Unfurnished,10000000.0,100.0,35054,0.25,2500000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,38696845.0,33396845.0,38050834.0,RENT
"2 BHK Apartment for Sale in Adross Radharani Housing Complex, Madhyamgram Kolkata",madhyamgram,2,4140000.0,14513,921.0,Unfurnished,4140000.0,41.4,14513,0.2,828000.0,3312000.0,27724.0,27724.0,DYNAMIC,9579718.0,12437605.0,9579718.0,16020494.0,13826294.0,19684489.0,RENT
"3 BHK Apartment for Sale in Parnasree Skyway, Parnasree Palli Kolkata",parnasree,3,10400000.0,22419,1055.0,Unfurnished,10400000.0,104.0,22419,0.25,2600000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,40244718.0,34732718.0,50512085.0,RENT
"2 BHK Apartment for Sale in Magnolia Vishnupriya, Baruipur Kolkata",baruipur,2,2960000.0,18164,900.0,Unfurnished,2960000.0,29.6,18164,0.1,296000.0,2664000.0,22299.0,22299.0,DYNAMIC,9579718.0,12620031.0,9579718.0,11454266.0,9885466.0,6468141.0,BUY
"3 BHK Apartment for Sale in Devaloke Sonar City, Sonarpur Station Road Kolkata",sonarpur station road,3,7440000.0,18141,877.0,Unfurnished,7440000.0,74.4,18141,0.2,1488000.0,5952000.0,49822.0,49822.0,DYNAMIC,9579718.0,12158040.0,9579718.0,28790452.0,24847252.0,41713798.0,RENT
"3 BHK Apartment for Sale in Sattvik Gateway, New Town Kolkata",new town,3,9600000.0,29961,1106.0,Unfurnished,9600000.0,96.0,29961,0.25,2400000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,37148971.0,32060971.0,42695904.0,RENT
"3 BHK Apartment for Sale in THE HYACINTH, Sonarpur Kolkata",sonarpur,3,8050000.0,15982,1687.0,Unfurnished,8050000.0,80.5,15982,0.25,2012500.0,6037500.0,50538.0,50538.0,DYNAMIC,9579718.0,12153981.0,9579718.0,31150960.0,26884460.0,47208274.0,RENT
"3 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata",new town,3,11700000.0,41989,1550.0,Unfurnished,11700000.0,117.0,41989,0.25,2925000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,45275308.0,39074308.0,33402399.0,BUY
"4 BHK Apartment for Sale in Ruchi Active Acres Angelica, Tangra Kolkata",tangra,4,23000000.0,88772,2621.0,Unfurnished,23000000.0,230.0,88772,0.25,5750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,89002743.0,76812743.0,38683125.0,BUY
"3 BHK Apartment for Sale in Shree Sai TASHVI HOMES, Rajarhat Kolkata",rajarhat,3,10500000.0,42025,1681.0,Unfurnished,10500000.0,105.0,42025,0.25,2625000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,40631687.0,35066687.0,31345176.0,BUY
"3 BHK Apartment for Sale in Crown, Sector 5 Salt Lake City Kolkata",sector 5 salt lake city,3,20000000.0,63880,1597.0,Unfurnished,20000000.0,200.0,63880,0.25,5000000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,77393689.0,66793689.0,33637500.0,BUY
"2 BHK Apartment for Sale in JMC Broadway, Sector 5 Salt Lake City Kolkata",sector 5 salt lake city,2,9750000.0,31040,776.0,Unfurnished,9750000.0,97.5,31040,0.25,2437500.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,37729424.0,32561924.0,41881279.0,RENT
"2 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata",em bypass,2,12000000.0,20671,700.0,Semi-Furnished,12000000.0,120.0,20671,0.25,3000000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,46436214.0,40076214.0,54450918.0,RENT
"3 BHK Apartment for Sale in Sugam Park, Narendrapur Rajpur Sonarpur Kolkata",narendrapur,3,6000000.0,17615,890.0,Unfurnished,6000000.0,60.0,17615,0.2,1200000.0,4800000.0,40179.0,40179.0,DYNAMIC,9579718.0,12231758.0,9579718.0,23218107.0,20038107.0,31471629.0,RENT
"2 BHK Apartment for Sale in NBCC Vibgyor Towers, New Town Kolkata",new town,2,7500000.0,29636,1094.0,Unfurnished,7500000.0,75.0,29636,0.2,1500000.0,6000000.0,50224.0,50224.0,DYNAMIC,9579718.0,12155761.0,9579718.0,29022633.0,25047633.0,32356120.0,RENT
"4 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata",em bypass,4,21500000.0,48725,1650.0,Semi-Furnished,21500000.0,215.0,48725,0.25,5375000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,83198216.0,71803216.0,42592582.0,BUY
"2 BHK Apartment for Sale in Upohar The Condoville, Eastern Metropolitan Bypass Kolkata",em bypass,2,9500000.0,27109,918.0,Unfurnished,9500000.0,95.0,27109,0.25,2375000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,36762002.0,31727002.0,45183483.0,RENT
"3 BHK Builder Floor for Sale in Realtech Rajvansh, Rajarhat Kolkata",rajarhat,3,5430000.0,30150,1206.0,Unfurnished,5430000.0,54.3,30150,0.2,1086000.0,4344000.0,36362.0,36362.0,DYNAMIC,9579718.0,12276930.0,9579718.0,21012387.0,18134487.0,14030986.0,BUY
"3 BHK Apartment for Sale in Hiland Park, Eastern Metropolitan Bypass Kolkata",em bypass,3,11000000.0,39216,1328.0,Unfurnished,11000000.0,110.0,39216,0.25,2750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,42566529.0,36736529.0,35227053.0,BUY
"3 BHK Apartment for Sale in Rohra Imperial, New Town Kolkata",new town,3,5750000.0,28309,1045.0,Unfurnished,5750000.0,57.5,28309,0.2,1150000.0,4600000.0,38505.0,38505.0,DYNAMIC,9579718.0,12250785.0,9579718.0,22250686.0,19203186.0,18774375.0,BUY
"3 BHK Apartment for Sale in Urbana NRI Complex, Eastern Metropolitan Bypass Kolkata",em bypass,3,54500000.0,92341,3127.0,Unfurnished,54500000.0,545.0,92341,0.25,13625000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,210897803.0,182012803.0,91662187.0,BUY
"3 BHK Apartment for Sale in Danish Red Salute Cooperative Housing Society Ltd, Action Area 3 Kolkata",action area 3,3,8860000.0,47052,1650.0,Unfurnished,8860000.0,88.6,47052,0.25,2215000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,34285404.0,29589604.0,23144822.0,BUY
"3 BHK Apartment for Sale in Supreme Residency, Rajarhat Kolkata",rajarhat,3,6500000.0,18125,725.0,Unfurnished,6500000.0,65.0,18125,0.2,1300000.0,5200000.0,43527.0,43527.0,DYNAMIC,9579718.0,12200900.0,9579718.0,25152949.0,21707949.0,34836191.0,RENT
"4 BHK Apartment for Sale in Merlin Avana, Tollygunge Kolkata",tollygunge,4,15700000.0,61882,1933.0,Unfurnished,15700000.0,157.0,61882,0.25,3925000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,60754046.0,52433046.0,26405437.0,BUY
"2 BHK Apartment for Sale in Merlin Rise Sports Republic Phase 1 A, Rajarhat Kolkata",rajarhat,2,5600000.0,23750,950.0,Unfurnished,5600000.0,56.0,23750,0.2,1120000.0,4480000.0,37500.0,37500.0,DYNAMIC,9579718.0,12262389.0,9579718.0,21670233.0,18702233.0,22420572.0,RENT
3 BHK Apartment for Sale in Rajarhat Kolkata,rajarhat,3,4550000.0,27725,1109.0,Unfurnished,4550000.0,45.5,27725,0.2,910000.0,3640000.0,30469.0,30469.0,DYNAMIC,9579718.0,12375148.0,9579718.0,17607064.0,15195564.0,9092679.0,BUY
"2 BHK Apartment for Sale in GM Meena Prime, Airport Area Kolkata",airport area,2,4560000.0,9232,591.0,Unfurnished,4560000.0,45.6,9232,0.2,912000.0,3648000.0,30536.0,30536.0,DYNAMIC,9579718.0,12373751.0,9579718.0,17645761.0,15228961.0,26719866.0,RENT
"3 BHK Apartment for Sale in Neelkanth Chitrakut Heights, New Town Kolkata",new town,3,7730000.0,32156,1187.0,Unfurnished,7730000.0,77.3,32156,0.25,1932500.0,5797500.0,48529.0,48529.0,DYNAMIC,9579718.0,12165375.0,9579718.0,29912661.0,25815761.0,30725488.0,RENT
"2 BHK Apartment for Sale in Siddha Serena, Rajarhat Kolkata",rajarhat,2,5500000.0,22500,900.0,Unfurnished,5500000.0,55.0,22500,0.2,1100000.0,4400000.0,36831.0,36831.0,DYNAMIC,9579718.0,12270179.0,9579718.0,21283265.0,18368265.0,22914291.0,RENT
"2 BHK Apartment for Sale in Utalika Luxury Phase 5, Eastern Metropolitan Bypass Kolkata",em bypass,2,8000000.0,14322,485.0,Unfurnished,8000000.0,80.0,14322,0.25,2000000.0,6000000.0,50224.0,50224.0,DYNAMIC,9579718.0,12155761.0,9579718.0,30957476.0,26717476.0,47787212.0,RENT
"3 BHK Apartment for Sale in Vinayak, New Town Kolkata",new town,3,22000000.0,42152,1556.0,Unfurnished,22000000.0,220.0,42152,0.25,5500000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,85133058.0,73473058.0,50549252.0,BUY
"3 BHK Apartment for Sale in Diamond City South, Tollygunge Kolkata",tollygunge,3,11200000.0,35215,1100.0,Unfurnished,11200000.0,112.0,35215,0.25,2800000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,43340466.0,37404466.0,39894791.0,RENT
"2 BHK Apartment for Sale in Mani Casa, New Town Kolkata",new town,2,13000000.0,23839,880.0,Unfurnished,13000000.0,130.0,23839,0.25,3250000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,50305898.0,43415898.0,53798851.0,RENT
"2 BHK Apartment for Sale in Rechi Anandi Enclave, Rajarhat Kolkata",rajarhat,2,5200000.0,17500,700.0,Unfurnished,5200000.0,52.0,17500,0.2,1040000.0,4160000.0,34822.0,34822.0,DYNAMIC,9579718.0,12299112.0,9579718.0,20122359.0,17366359.0,25390215.0,RENT
6 BHK House for Sale in Kasba Kolkata,kasba,6,35000000.0,58235,2200.0,Semi-Furnished,35000000.0,350.0,58235,0.25,8750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,135438956.0,116888956.0,58865625.0,BUY
"2 BHK Apartment for Sale in Bengal Peerless Avidipta Phase 2, Eastern Metropolitan Bypass Kolkata",em bypass,2,8500000.0,20346,689.0,Unfurnished,8500000.0,85.0,20346,0.25,2125000.0,6375000.0,53363.0,53363.0,DYNAMIC,9579718.0,12140323.0,9579718.0,32892318.0,28387318.0,47633390.0,RENT
"3 BHK Apartment for Sale in GODREJ BLUE, New Alipore Kolkata",new alipore,3,23900000.0,39853,1500.0,Unfurnished,23900000.0,239.0,39853,0.25,5975000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,92485459.0,79818459.0,56233643.0,BUY
"4 BHK Apartment for Sale in SRIPSK Palladina, Eastern Metropolitan Bypass Kolkata",em bypass,4,57000000.0,103356,3500.0,Unfurnished,57000000.0,570.0,103356,0.25,14250000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,220572014.0,190362014.0,95866874.0,BUY
"3 BHK Apartment for Sale in 77 Estates, Chetla Kolkata",chetla,3,14000000.0,27947,1048.0,Semi-Furnished,14000000.0,140.0,27947,0.25,3500000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,54175582.0,46755582.0,51993608.0,RENT
"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, New Town Kolkata",new town,3,21500000.0,42233,1559.0,Unfurnished,21500000.0,215.0,42233,0.25,5375000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,83198216.0,71803216.0,49620627.0,BUY
"5 BHK Apartment for Sale in PS ONE10, New Town Kolkata",new town,5,47500000.0,75851,2800.0,Unfurnished,47500000.0,475.0,75851,0.25,11875000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,183810012.0,158635012.0,79889062.0,BUY
"3 BHK Apartment for Sale in Anudip Grandeur, Kasba Kolkata",kasba,3,12700000.0,27106,1024.0,Unfurnished,12700000.0,127.0,27106,0.25,3175000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,49144993.0,42413993.0,50568198.0,RENT
"4 BHK Apartment for Sale in Belani NPR Sanctuary, Tollygunge Kolkata",tollygunge,4,71000000.0,86628,2706.0,Unfurnished,71000000.0,710.0,86628,0.25,17750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,274747597.0,237117597.0,119413124.0,BUY
"4 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",anandapur,4,69000000.0,187220,4473.0,Unfurnished,69000000.0,690.0,187220,0.25,17250000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,267008228.0,230438228.0,116049374.0,BUY
"5 BHK Apartment for Sale in Orbit Urban Park, Action Area 2 Kolkata",action area 2,5,58300000.0,78307,3200.0,Unfurnished,58300000.0,583.0,78307,0.25,14575000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,225602604.0,194703604.0,98053312.0,BUY
"4 BHK Villa for Sale in Forum Legacy, Action Area 2 Kolkata",action area 2,4,39000000.0,60981,2492.0,Unfurnished,39000000.0,390.0,60981,0.25,9750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,150917694.0,130247694.0,65593125.0,BUY
"3 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata",anandapur,3,43000000.0,106732,2550.0,Unfurnished,43000000.0,430.0,106732,0.25,10750000.0,6530775.0,54667.0,54667.0,DYNAMIC,9579718.0,12134085.0,9579718.0,166396432.0,143606432.0,72320624.0,BUY
"3 BHK Apartment for Sale in Srijan Solus, Madhyamgram Kolkata",madhyamgram,3,7800000.0,12606,800.0,Unfurnished,7800000.0,78.0,12606,0.25,1950000.0,5850000.0,48968.0,48968.0,DYNAMIC,9579718.0,12162882.0,9579718.0,30183539.0,26049539.0,47282082.0,RENT
"3 BHK Apartment for Sale in Realmark Seasonss, Joka Kolkata",joka,3,8000000.0,19192,950.0,Unfurnished,8000000.0,80.0,19192,0.25,2000000.0,6000000.0,50224.0,50224.0,DYNAMIC,9579718.0,12155761.0,9579718.0,30957476.0,26717476.0,44802482.0,RENT
