Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"2 BHK Flat for Sale in Team Taurus Singhaduar, Team Taurus Singhaduar, Rajarhat, Kolkata",Kolkata,Rajarhat,2,6630000,,1241.0,5344.0,Unfurnished,buy
"3 BHK Flat for Sale in Prudent Amara, Prudent Amara, Rajpur Sonarpur, Kolkata",Kolkata,Rajpur Sonarpur,3,4570000,,865.0,5279.0,Unfurnished,buy
"4 BHK Villa for Sale in Arizuma Southern Vista, Rajpur Sonarpur Kolkata",Kolkata,Rajpur Sonarpur,4,15100000,,1974.0,7682.0,Unfurnished,buy
"3 BHK Flat for Sale in Look Saket Evara, Look Saket Evara, Baranagar, Kolkata",Kolkata,Baranagar,3,10000000,,781.0,12798.0,Unfurnished,buy
"2 BHK Flat for Sale in Sureka Sunrise Aura, Sureka Sunrise Aura, Southern Bypass, Kolkata",Kolkata,Southern Bypass,2,6090000,,920.0,6616.0,Unfurnished,buy
"3 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,3,10000000,,1030.0,9710.0,Unfurnished,buy
"4 BHK Flat for Sale in Emami Aamod, Emami Aamod, New Alipore, Kolkata",Kolkata,New Alipore,4,36500000,,2724.0,13417.0,Unfurnished,buy
"5 BHK Flat for Sale in AKP Marinas Edge, AKP Marinas Edge, North 24 Parganas, Kolkata",Kolkata,North 24 Parganas,5,65400000,,2824.0,23159.0,Unfurnished,buy
"4 BHK Flat for Sale in Pansari Purti Tatsam, Pansari Purti Tatsam, Rajarhat, Kolkata",Kolkata,Rajarhat,4,16200000,,1788.0,9060.0,Unfurnished,buy
"3 BHK Flat for Sale in Purti The Varanda, Purti The Varanda, Lake Town, Kolkata",Kolkata,Lake Town,3,20600000,,1883.0,10954.0,Unfurnished,buy
"4 BHK Villa for Sale in Eden Group Amantran, Joka Kolkata",Kolkata,Joka,4,14000000,,2024.0,6933.0,Unfurnished,buy
"2 BHK Flat for Sale in Siddha Suburbia, Siddha Suburbia, Southern Bypass, Kolkata",Kolkata,Southern Bypass,2,4490000,,920.0,4884.0,Unfurnished,buy
"3 BHK Flat for Sale in Siddha Serena, Siddha Serena, Rajarhat, Kolkata",Kolkata,Rajarhat,3,10000000,,1030.0,9710.0,Unfurnished,buy
"5 BHK Flat for Sale in AKP Marinas Edge, AKP Marinas Edge, North 24 Parganas, Kolkata",Kolkata,North 24 Parganas,5,65400000,,2824.0,23159.0,Unfurnished,buy
"2 BHK Flat for Sale in Bhawani Porshi Nagar, Bhawani Porshi Nagar, Konnagar, Kolkata",Kolkata,Konnagar,2,3360000,,465.0,7222.0,Unfurnished,buy
"3 BHK Flat for Sale in Sugam Morya Phase 2, Sugam Morya Phase 2, Tollygunge, Kolkata",Kolkata,Tollygunge,3,17000000,,949.0,17915.0,Unfurnished,buy
"2 BHK Flat for Sale in Sugam Prakriti, Sugam Prakriti, Kamalgazi, Narendrapur, Kolkata",Kolkata,Kamalgazi,2,3880000,,849.0,4569.0,Unfurnished,buy
"3 BHK Flat for Sale in Alcove Flora Fountain, Alcove Flora Fountain, Topsia, Kolkata",Kolkata,Topsia,3,15600000,,1181.0,13242.0,Unfurnished,buy
"3 BHK Flat for Sale in Fortune Heights Barasat, Fortune Heights Barasat, Barasat, Kolkata",Kolkata,Barasat,3,6180000,,1289.0,4889.0,Unfurnished,buy
"3 BHK Flat for Sale in Danish Akal Co Op Housing Society, Danish Akal Co Op Housing Society, Action Area 1, Kolkata",Kolkata,Action Area 1,3,10500000,,1475.0,7153.0,Unfurnished,buy
